NomeCandidato;NumeroUrna;QtdZonasVotado
FATIMA BARBOSA;43251;54
FATIMA BARREIRA;15332;41
FELICIA;43003;44
FELIPE GUERRA;23015;40
FERNANDO ARAUJO;12400;56
FERNANDO BIKE;50007;48
FERNANDO NUNES;14002;40
FERNANDO VILA VERDE;22900;46
FERNANDO ZONA SUL;40321;47
FERREIRA COHAB I;50111;54
FLAVIUS;15008;49
FLEXA;12262;48
FLOR;22007;47
FRAN;19083;16
FRANCIS CABELEIREIRO;65410;34
FRANCISCA SURIANO;43088;41
FRANCISCO LINHARES;50193;47
FRANCISCO MIGUEL;65349;18
FRANCISCO NOGUEIRA;33191;39
FRANCISCO SOUZA;33133;47
FRANKLIN ANDRADE;23022;40
FRED DIMOV;14369;46
FRED RIBEIRO;19219;33
FREDERICO SOSNOWSKI;50850;57
FÁBIO MOURÃO;14033;52
GABIN;20456;50
GABRIELZINHO - O COLEGUINHA;23458;42
GALDINO;45866;49
GERALDO NOBREGA;40007;50
GERSON;36036;38
GERSON ISIDORO KADOSHI;31002;41
GI DO PSOL;50995;17
GIBA JÚNIOR;28813;25
GIL BALA;70335;19
GIL PERY;54369;17
GIL PONCIANO;50234;51
GILMAR BRANDÃO;31001;43
GILMAR XAVIER;33500;37
GILSON AMARAL;23132;25
GILSON FICO;43234;48
GILSON RODRIGUES;54654;57
GILVANDO UNIDO AO POVO;33853;13
GISLAINE;44045;37
GLEICY VARISO;44331;47
GLORINHA;65069;44
GONÇALO BORGES;31008;55
GORDINHO DA PAZ;31131;34
GORETE PASQUAL;27107;24
GORETI PROTA;50884;9
GRECIONE;44023;19
GREGSON ANTONIO;65552;23
GUEDES;31655;22
GUELL ALMEIDA;10013;46
GUERRA;70666;32
GUIZZO;14770;41
GUTO MARDEGAN;50955;46
HARICLIA CASTELLANI;40120;32
HAROLDO GUERRA;23023;56
HELENA CABELEIREIRA;31012;49
HELENA RODRIGUES;43300;53
HELIO SILVA;54111;40
HELOISA SOUZA;20011;50
HILDA FURACÃO;23698;29
HILDA ROCHA;19208;28
HOMENZINHO JAÇANÃ;44888;42
HONORIO JOSE;27766;20
HUBER GAMA;14551;52
IARA GRACIANO;19358;24
IARIA COLARES;15915;40
ILDA FIORE;54789;54
INALDO DA CONSTRUÇÃO CIVIL;12009;42
INARA SWOBODA;33363;11
IORIO NETO;27123;40
IRENE ALVES CORREA;50053;22
IRMAO JORGE;70050;17
IRMÃ LEO;50012;31
ISA;50712;13
ISA GODOY;12007;36
ISABEL FERRAREZ;27773;37
ISAQUE É DEZ;10600;41
ISAURA MARTINS;23002;10
ITAGIBA;44345;34
ITAMAR SUSU;65060;47
IVAN DA FARMACIA;23012;56
IVAN DE OLIVEIRA;17101;34
IVETE SOUZA;31057;23
IVIE;50778;6
IZILDINHA;10789;36
J.MARCELO VIEIRA;43430;40
JADSON MORAES;40011;54
JAIRINHO;65910;31
JAIRO LUIZ TELES;15655;55
JAIRO XAVIER;27600;23
JAJA;12328;40
JAMES LOSACCO;43012;45
JAMILZINHO COMUNIDADE;23236;27
JAMINHO KIXODO;10888;51
JAÇA;44930;24
JCALDEIRA;65772;46
JEAN NASCIMENTO;43167;50
JEFFERSON JULIÃO;10112;50
JOANA BRIGIDO;44562;28
JOAO ALVES;65013;43
JOAO BATISTA;43139;50
JOAQUIM CASAES;19091;25
JOCA;31019;32
JOHNNY;17777;50
JONAS PEREIRA;43331;56
JORGE FUZIL;65125;53
JORGE ROBSON;44110;33
JOSE ARAUJO;70057;14
JOSE ARLINDO;19300;36
JOSE ILTON;19555;23
JOSE NILO;50300;29
JOSEFA ALBUQUERQUE;70222;28
JOSÉ AUGUSTO ( GUTO);13913;48
JOSÉ CHAGAS;19111;42
JOSÉ IRAN;45900;56
JOSÉ PEREIRA;19250;10
JOSÉ SANTOS;31133;43
JOÃO CAMILO;31035;48
JOÃO MARTINS;10236;53
JOÃO MESQUITA;50199;34
JOÃO ZELADOR;27323;47
JOÃOZINHO DA RETIFICA;19900;42
JR;19359;55
JULIANA LIMA;28876;29
JULIANA SILVA;36006;2
JURA JURANDYR;70110;28
JURANDI GARCIA;65133;41
JUVENIL;19290;25
JÔ ALMEIDA;12814;20
JÔ ARTESÃ;11113;53
KATE CHRISTINA;27182;9
KATIA BATISTA;13747;41
KATIA SERVULO;36167;18
KELY;50776;7
KFOURI;50046;44
KHÁLED MAHASSEN;65300;49
KINGNALDO O POETA;31444;40
LEANDRO;23330;55
LEANDRO SANTOS;19189;40
LEIA BAIANA;19015;43
LEILA;15257;27
LEONARDO RODRIGUES;54272;35
LEONILSON QUEIRÓZ;13077;38
LIA;43434;38
LIDIA CORREA;54754;56
LINDA TORRES;65138;22
LINDOMAR;23030;18
LIVINO REIS;50606;34
LIXEIRO;40600;55
LIZETTI GERAISSATI;23231;47
LOURDES CAVALCANTI;12749;18
LOURDES QUADROS;16789;57
LOURIVAL NENO;33101;40
LU ROCHA;40100;53
LUCIA;19666;27
LUCIA DA NOCA;12655;16
LUCIANA ANDREOZZI;31335;34
LUCIANA CAMPOS;13213;57
LUCIANA NASCIMENTO;44000;51
LUCIANA RAMOS;15885;28
LUCIANO BARROSO;50750;22
LUCIANO DO TATUAPÉ;27777;48
LUCIANO ENEAS;19007;39
LUCIANO MARTINS;65012;46
LUCILENE ISABEL;43579;33
LUCIMAR FREIRE;14669;48
LUIS CARLOS O MIDÚ;14190;52
LUIZ ALBERTO;65007;38
LUIZ ANTONIO PIRACAIA;12025;30
LUIZ CARLOS;23300;52
LUIZ CORUJA;50135;15
LUIZ DO HELIÓPOLIS;27027;29
LUIZ ROSA;23999;37
LUIZ TRAUZZOLO;12918;29
LUIZA MARILAC;10058;43
LUIZINHO;14550;45
LUIZINHO DE ITAQUERA;23033;31
LUNGARETTI;50005;53
LURDINHA;45789;57
LUZINETE;40163;46
LÍDIA DA COPA LEIDIANE;19001;29
MACHADO;33325;29
MACHADÃO;65030;39
MADALENA MACEDO;12015;50
MADEIRA;15515;37
MAESTRO ALEXEI;40001;54
MAESTRO JOSÉ PAULO;31123;37
MAGALHAES;12021;47
MAGGIO;14141;54
MAGRÃO;12340;50
MAGRÃO DO TRAÇO UNIÃO;54198;34
MAISA LOPES;65020;47
MALU BRANT;15178;37
MANGABA;54322;21
MANOEL CRUZ;15456;52
MANOEL MARUYAMA;65613;43
MANOEL TIO DO DOCE;15022;53
MANOELA;10115;43
MANOLO.WANDERLEY;43212;52
MARATONA;70111;55
MARCAO DO GÁS;10223;54
MARCELO RUSSO;40131;36
MARCELO SABINO DA SILVA;19019;38
MARCELO SAMPAIO;50505;57
MARCELO SANTOS;27509;27
MARCELO VERONEZ;54192;51
MARCIA ALMEIDA;65689;9
MARCIA CRISTINA;65005;31
MARCIA LIMA;12333;57
MARCIA MORENA;65211;38
MARCIA REGINA;44306;10
MARCIA VIEIRA;50090;14
MARCIA VIVIANE;45348;36
MARCIO ROSA;33630;46
MARCOS ANTONIO DA GATUSA;50101;51
MARCOS BRITO;12778;17
MARCOS M.S.;50299;38
MARCOS OLIVER;45765;54
MARCOS WHITAKER;19800;46
MARGARIDA ZORDENONI;65333;45
MARIA CLEMENTINA;22444;53
MARIA CRISTINA DI CIESCO;31036;46
MARIA CÂNDIDA;31153;56
MARIA DA SÉ;70344;35
MARIA DO GERALDINO;50242;20
MARIA FUENTES;14555;55
MARIA JOSÉ;65109;40
MARIA MELLO;27444;38
MARIA ODILA;65567;10
MARIA REGINA;19266;43
MARIA SANCHEZ;14315;42
MARIANA;31200;29
MARIAZINHA;43313;48
MARILDA WATANABE;43789;57
MARILENA ROSALINO;43511;43
MARIO DA SORVETERIA;19878;32
MARISA CARNICELLI;22245;53
MARIZETE CAMPOS;14517;32
MARLENE DEON;17500;23
MARLENE FURINO;13137;57
MARLY LAMARCA;14144;53
MARRONZINHO DO TRÂNSITO;13188;52
MARTA OLIVEIRA;33777;45
MARTHA KEIM;70370;2
MARTINS ARAUJO;11777;56
MARTINS DE ABREU;14044;50
MARY GARRAS;19789;30
MASSAGISTA CARLÃO;65861;20
MATEUS SANTANA;20333;52
MATILDE;44723;15
MAURICIO BANDEIRAS;44171;25
MAURICIO BONFIM;19669;29
MAURICIO LUDOVICO;14728;53
MAURICIO MARIANO;65551;56
MAURICIO MERLI;31113;44
MAURICIO PEREIRA;43033;34
MAURICIO PESSOA;33233;15
MAURO;27005;40
MAURO GAGO;33680;29
MELLO JUNIOR;65342;20
MESSIAS 'ZOIO';20117;33
MESTRE RICARDO;23787;40
MICHEL LUTAIF;50150;43
MICHELE;50998;3
MIGUEL CEM MIZÉRIA;12100;57
MILA SALATA;14150;38
MILTON MISSAKA;14266;47
MINEIRO;44155;49
MINEIRO GENTE DA GENTE;65150;24
MIRAM DA CONCEIÇÃO;10007;46
MIRANDA;43004;48
MIRIAM DAS FLORES;54161;25
MIRIAN DO BRASIL;70877;27
MIRO LEITÃO;23451;54
MISSIONÁRIA CIDA;70652;29
MODESTO;12777;53
MOISES PAPAI NOEL;44113;39
MOISÉS AFONSO;14510;50
MOISÉS PENA;20444;37
MONICA ELIANA;43141;39
MONICA FIGUEIRA;17778;10
MOOITTA;43064;37
MOSCA;43444;52
