NomeCandidato;NumeroUrna;QtdSecoesVotado
GABRIELZINHO - O COLEGUINHA;23458;389
GALDINO;45866;466
GENARIO NASCIMENTO;43999;2564
GENILZA MEDEIROS;20000;720
GEORGE HATO;15622;10329
GERALDO NOBREGA;40007;826
GERSON;36036;167
GERSON ISIDORO KADOSHI;31002;710
GI DO PSOL;50995;23
GIBA JÚNIOR;28813;39
GIL BALA;70335;184
GIL FREIRE;13013;1460
GIL PERY;54369;167
GIL PONCIANO;50234;353
GILBERTO NASCIMENTO JR;20123;10380
GILBERTO NATALINI;43456;10638
GILMAR BRANDÃO;31001;377
GILMAR XAVIER;33500;282
GILSON AMARAL;23132;206
GILSON BARRETO;45678;9105
GILSON FICO;43234;637
GILSON RODRIGUES;54654;1893
GILVANDO UNIDO AO POVO;33853;129
GIOVANNI;55455;4478
GISLAINE;44045;193
GIULIANO CHADDOUD;15222;4231
GIVA;50055;1995
GLEIBE PRETTI;50444;1448
GLEICY VARISO;44331;347
GLORINHA;65069;332
GONÇALO BORGES;31008;792
GORDINHO DA PAZ;31131;274
GORETE PASQUAL;27107;203
GORETI PROTA;50884;13
GOULART;55800;10022
GRECIONE;44023;108
GREGORIO POÇO;65651;2494
GREGSON ANTONIO;65552;117
GUEDES;31655;267
GUELL ALMEIDA;10013;321
GUERRA;70666;145
GUIZZO;14770;464
GUTO MARDEGAN;50955;646
HARICLIA CASTELLANI;40120;103
HAROLDO GUERRA;23023;1861
HAVANIR;55500;1781
HELENA CABELEIREIRA;31012;447
HELENA RODRIGUES;43300;476
HELIO SILVA;54111;197
HELOISA SOUZA;20011;577
HILDA FURACÃO;23698;196
HILDA ROCHA;19208;188
HOMENZINHO JAÇANÃ;44888;399
HONORIO JOSE;27766;67
HUBER GAMA;14551;513
IARA GRACIANO;19358;159
IARIA COLARES;15915;380
ILDA FIORE;54789;465
INALDO DA CONSTRUÇÃO CIVIL;12009;364
INARA SWOBODA;33363;21
IORIO NETO;27123;149
IRENE ALVES CORREA;50053;151
IRMAO JORGE;70050;228
IRMÃ LEO;50012;151
ISA;50712;16
ISA GODOY;12007;124
ISABEL FERRAREZ;27773;251
ISAIAS DIAS;13888;1551
ISAQUE É DEZ;10600;544
ISAURA MARTINS;23002;13
ITAGIBA;44345;119
ITALO CARDOSO;13650;8571
ITAMAR SUSU;65060;699
IVAN DA CUNHA;43580;4559
IVAN DA FARMACIA;23012;2060
IVAN DE OLIVEIRA;17101;348
IVAN MUNIS;10122;655
IVAN TESOURINHA STRINGHI;13909;1061
IVANISE MÃES DA SÉ;23103;964
IVETE SOUZA;31057;187
IVIE;50778;6
IZILDINHA;10789;428
J.MARCELO VIEIRA;43430;204
JADSON MORAES;40011;717
JAIR TATTO;13114;8697
JAIRINHO;65910;258
JAIRO LUIZ TELES;15655;624
JAIRO XAVIER;27600;44
JAJA;12328;133
JAMES LOSACCO;43012;432
JAMIL MURAD;65123;10028
JAMILZINHO COMUNIDADE;23236;223
JAMINHO KIXODO;10888;645
JAÇA;44930;377
JCALDEIRA;65772;147
JEAN CARLOS;10000;2529
JEAN MADEIRA;10318;7901
JEAN NASCIMENTO;43167;428
JEFFERSON JULIÃO;10112;780
JEFFERSON SILVA;13050;1250
JOANA BRIGIDO;44562;236
JOAO ALVES;65013;778
JOAO BATISTA;43139;481
JOAQUIM CASAES;19091;252
JOCA;31019;156
JOCELI SILVA;55567;886
JOHNNY;17777;329
JOHNNY SOARES;14014;3062
JONAS CAMISA NOVA;25100;6541
JONAS PEREIRA;43331;853
JORGE FUZIL;65125;1297
JORGE PEREZ;55700;7903
JORGE ROBSON;44110;236
JOSE ARAUJO;70057;153
JOSE ARLINDO;19300;263
JOSE CARLOS STANGARLINI;55155;4597
JOSE ILTON;19555;129
JOSE MARIA;23333;2931
JOSE NILO;50300;171
JOSEFA ALBUQUERQUE;70222;207
JOSELITO;65001;4053
JOSÉ AMÉRICO;13100;13122
JOSÉ AUGUSTO ( GUTO);13913;664
JOSÉ CHAGAS;19111;689
JOSÉ IRAN;45900;310
JOSÉ PEREIRA;19250;54
JOSÉ ROLIM;45123;6269
JOSÉ SANTOS;31133;413
JOÃO CAMILO;31035;622
JOÃO FRANCISCO;13200;3724
JOÃO GALVINO;13120;3997
JOÃO JORGE;45145;7288
JOÃO MARTINS;10236;823
JOÃO MESQUITA;50199;98
JOÃO ZAFALÃO;16123;1780
JOÃO ZELADOR;27323;282
JOÃOZINHO DA RETIFICA;19900;740
JR;19359;368
JULIANA CARDOSO;13222;11822
JULIANA LIMA;28876;72
JULIANA SILVA;36006;2
JURA JURANDYR;70110;221
JURANDI GARCIA;65133;731
JUSCELINO GADELHA;40133;8865
JUVENIL;19290;157
JÔ ALMEIDA;12814;55
JÔ ARTESÃ;11113;189
KAKA O KEVORK;12123;737
KAMIA;55699;6564
KATE CHRISTINA;27182;24
KATIA BATISTA;13747;208
KATIA SERVULO;36167;179
KELLY CRISTINA;12456;450
KELY;50776;7
KENNEDY;19000;1905
KFOURI;50046;174
KHÁLED MAHASSEN;65300;412
KIKO KLB;55999;5959
KINGNALDO O POETA;31444;403
LAÉRCIO BENKO;31031;8938
LEANDRO;23330;420
LEANDRO SANTOS;19189;329
LEIA BAIANA;19015;299
LEILA;15257;154
LELIS TRAJANO;17000;7082
LEONARDO RODRIGUES;54272;135
LEONILSON QUEIRÓZ;13077;517
LIA;43434;523
LIDIA CORREA;54754;972
LINDA TORRES;65138;124
LINDOMAR;23030;91
LIVINO REIS;50606;268
LIXEIRO;40600;1011
LIZETTI GERAISSATI;23231;285
LOURDES CAVALCANTI;12749;60
LOURDES QUADROS;16789;756
LOURIVAL NENO;33101;312
LU ROCHA;40100;220
LUCIA;19666;88
LUCIA DA NOCA;12655;169
LUCIANA ANDREOZZI;31335;238
LUCIANA CAMPOS;13213;481
LUCIANA NASCIMENTO;44000;532
LUCIANA RAMOS;15885;124
LUCIANO BARROSO;50750;177
LUCIANO DO TATUAPÉ;27777;153
LUCIANO ENEAS;19007;321
LUCIANO GAMA;45022;6442
LUCIANO MARTINS;65012;405
LUCILENE ISABEL;43579;160
LUCIMAR FREIRE;14669;452
LUIS CARLOS O MIDÚ;14190;658
LUIZ ALBERTO;65007;230
LUIZ ANTONIO PIRACAIA;12025;251
LUIZ CARLOS;23300;995
LUIZ CORUJA;50135;116
LUIZ DO HELIÓPOLIS;27027;302
LUIZ ROSA;23999;147
LUIZ TEIXEIRA;10222;1570
LUIZ TRAUZZOLO;12918;71
LUIZA ELUF;15015;6927
LUIZA MARILAC;10058;687
LUIZINHO;14550;903
LUIZINHO DE ITAQUERA;23033;138
LUNGARETTI;50005;340
LURDINHA;45789;1066
LUZINETE;40163;178
LÍDIA DA COPA LEIDIANE;19001;327
LÍVIA FIDELIX;28818;2013
MACHADO;33325;101
MACHADÃO;65030;106
MADALENA MACEDO;12015;430
MADEIRA;15515;155
MAESTRO ALEXEI;40001;228
MAESTRO JOSÉ PAULO;31123;156
MAGALHAES;12021;382
MAGGIO;14141;428
MAGRÃO;12340;670
MAGRÃO DO TRAÇO UNIÃO;54198;128
MAIA DO FRETADO;33733;1237
MAISA LOPES;65020;292
MALEK;11011;1358
MALU BRANT;15178;236
MANGABA;54322;112
MANOEL CRUZ;15456;250
MANOEL DEL RIO;13313;9598
MANOEL MARUYAMA;65613;217
MANOEL TIO DO DOCE;15022;322
MANOELA;10115;286
MANOLO.WANDERLEY;43212;1056
MARA GIANETTI;55200;3729
MARATONA;70111;376
MARCAO DO GÁS;10223;583
MARCELINHO CARIOCA;40777;12100
MARCELO FRISONI;11000;3520
MARCELO RUSSO;40131;253
MARCELO SABINO DA SILVA;19019;171
MARCELO SAMPAIO;50505;832
MARCELO SANTOS;27509;199
MARCELO VERONEZ;54192;583
MARCIA ALMEIDA;65689;27
MARCIA CRISTINA;65005;337
MARCIA LIMA;12333;518
MARCIA MORENA;65211;572
MARCIA REGINA;44306;49
MARCIA VIEIRA;50090;35
MARCIA VIVIANE;45348;147
MARCIO BARROS;55789;994
MARCIO ROSA;33630;230
MARCO ANTONIO DUARTE;22707;2907
MARCO AURELIO CUNHA;55005;16279
MARCOS ANTONIO DA GATUSA;50101;799
MARCOS BRITO;12778;82
MARCOS FERNANDES;45452;2121
MARCOS FREIRE;13124;771
MARCOS M.S.;50299;513
MARCOS MEIRA;36777;1578
MARCOS OLIVER;45765;271
MARCOS WHITAKER;19800;414
MARGARETE BARRETO;45100;3438
MARGARIDA ZORDENONI;65333;358
MARIA CLEMENTINA;22444;380
MARIA CRISTINA DI CIESCO;31036;363
MARIA CÂNDIDA;31153;673
MARIA DA SÉ;70344;132
MARIA DO GERALDINO;50242;117
MARIA FUENTES;14555;198
MARIA JOSÉ;65109;269
MARIA MELLO;27444;508
MARIA NATIVIDADE;13333;2624
MARIA ODILA;65567;29
MARIA REGINA;19266;326
MARIA SANCHEZ;14315;295
MARIANA;31200;121
MARIAZINHA;43313;498
MARILDA COBERARTE;10001;1920
MARILDA WATANABE;43789;636
MARILENA ROSALINO;43511;200
MARINGONI;50550;3018
MARIO COVAS NETO;45000;17477
MARIO DA SORVETERIA;19878;193
MARISA CARNICELLI;22245;590
MARISA DO METRÔ;16016;1021
MARIZETE CAMPOS;14517;546
MARLENE DEON;17500;47
MARLENE FURINO;13137;898
MARLY LAMARCA;14144;328
MARQUITO;14222;12794
MARRONZINHO DO TRÂNSITO;13188;399
MARTA COSTA;55400;14601
MARTA OLIVEIRA;33777;284
MARTHA KEIM;70370;2
MARTINS ARAUJO;11777;787
MARTINS DE ABREU;14044;653
MARY GARRAS;19789;190
MASSAGISTA CARLÃO;65861;229
MATEUS NOVAES;50950;1088
MATEUS SANTANA;20333;352
MATILDE;44723;137
MATTOS;15333;944
MAURICIO BANDEIRAS;44171;104
MAURICIO BONFIM;19669;116
MAURICIO LUDOVICO;14728;574
MAURICIO MARIANO;65551;578
MAURICIO MERLI;31113;609
MAURICIO PEREIRA;43033;471
MAURICIO PESSOA;33233;136
MAURO;27005;182
MAURO GAGO;33680;193
MEDEIROS;12300;9028
MELLO JUNIOR;65342;87
MESSIAS 'ZOIO';20117;505
MESTRE RICARDO;23787;330
MICHEL LUTAIF;50150;440
MICHELE;50998;3
MIGUEL CEM MIZÉRIA;12100;1075
MILA SALATA;14150;186
MILTON LEITE;25250;8135
MILTON MISSAKA;14266;676
MINEIRO;44155;567
MINEIRO GENTE DA GENTE;65150;201
MIRAM DA CONCEIÇÃO;10007;283
MIRANDA;43004;315
MIRIAM DAS FLORES;54161;161
MIRIAN DO BRASIL;70877;222
MIRO LEITÃO;23451;2467
MISSIONÁRIA CIDA;70652;130
MISSIONÁRIA EDILAINE PIRES;45045;8530
MODESTO;12777;695
MOISES PAPAI NOEL;44113;424
MOISÉS AFONSO;14510;546
MOISÉS PENA;20444;356
MONICA ELIANA;43141;256
MONICA FIGUEIRA;17778;41
MOOITTA;43064;303
MOSCA;43444;905
MOZAIR COSTA;33963;70
MOZART RUSSOMANNO;10999;8653
MULHER PÊRA;70070;1990
MYRIAN MASSAROLLO;33033;125
MYRYAM ATHIE;25500;2825
MÁRIO BORTOTO;50501;1121
MÁRIO GREGO;50664;166
NABIL BONDUKI;13633;13696
NADIA BACCHI DO FLORESCER;22200;1924
NADIR SAMPAIO;13500;1481
NAILTON;33215;65
NAIR COSTA;25025;925
NALVA FIEL;13987;13
NANI VENÂNCIO;10777;3210
NASCIMENTO;44447;245
NATAEL;43137;214
NATÁLIA PIMENTA;29229;384
NECO FIGA;19444;935
NEGRO COSMO;33400;216
NEI MOTOCICLISTA;50236;247
NEIDE DO EMILIO;50019;222
NEIDE FERREIRA;19051;185
NEIDE LANDE;65167;72
NEIDE RONDON;27587;214
NELO RODOLFO;15000;9974
NELSINHO PAULISTA;43123;1473
NELSON BENTO;12144;190
NELSON RIBAS;14500;629
NELSON SUSSUMU SHIKICIMA;14888;932
NELSON VALENTE;28888;317
NETINHO DE PAULA;65000;18107
NEUCELI RODRIGUES;55355;227
NEUSA DA SILVA;45899;700
NEUSA DAGLISIA;44028;172
NEUSA DE OLIVEIRA;19011;178
NEUSA RUOTOLO;33776;19
NEUZA ANDRADE;23681;2
NICE A DIARISTA;22100;330
NILDA;65165;1660
NILO;43222;702
NIVALDO DA RECICLAGEM;19129;374
NOCA BATUIRA;55444;1216
NOELIA SANTOS;70152;316
NOEMI NONATO;40401;13445
NONATO DA AUTO PEÇAS;19333;1111
NORBERTO BEIJOCA;14520;585
NORMA DAS PENSIONISTAS;14912;136
NUBIA CORREA;55007;255
NULLO CAPELOTTO;12205;98
NUNES PEIXEIRO;14400;1562
O HOMEM DA MOTO;44600;261
O PHUMAÇA;23420;239
ODAIR ABREU;31747;586
ODENILDO SOARES;65655;237
OLIVEIRA;55055;6257
OLIVEIRA JÁ;13999;922
OLIVEIRA SOUZA;19690;215
ORLANDO SILVA;65100;10172
OSIVALDO ROSA;31234;889
OSVALDINHO DA FEIRA MADRUGADA;44044;2100
OSVALDO ATLETA;44050;185
OSVALDO NUNES DA LOTAÇÃO;12020;287
OTA;40096;18281
PADRE VICENTE DA PAZ;27090;1359
PAGLIARIN;45920;6733
PAI GUIMARÃES;23777;3511
PAI VLADMIR DO OXÓSSI;19077;452
PAOLA ELIDE;43143;253
PAOLA PALOPITO;36200;80
PAPA JUNIOR;22345;639
PARANÁ;25333;684
PASTOR EDEMILSON CHAVES;11333;18834
PASTOR JOÃO LISBOA;31313;771
PASTOR MATUSALEM;43081;784
